d,t1,t2,s1,s2,win1,win2
Sunday 19 November 2023,Bosnia and Herzegovina,Slovakia,1,2,FALSE,TRUE
Sunday 19 November 2023,Liechtenstein,Luxembourg,0,1,FALSE,TRUE
Monday 20 November 2023,Ukraine,Italy,0,0,FALSE,FALSE
Monday 20 November 2023,North Macedonia,England,1,1,FALSE,FALSE
Monday 20 November 2023,Czechia,Moldova,3,0,TRUE,FALSE
Monday 20 November 2023,Albania,Faroe Islands,0,0,FALSE,FALSE
Monday 20 November 2023,Northern Ireland,Denmark,2,0,TRUE,FALSE
Monday 20 November 2023,Slovenia,Kazakhstan,2,1,TRUE,FALSE
Monday 20 November 2023,San Marino,Finland,1,2,FALSE,TRUE
Tuesday 21 November 2023,Greece,France,2,2,FALSE,FALSE
Tuesday 21 November 2023,Gibraltar,Netherlands,0,6,FALSE,TRUE
Tuesday 21 November 2023,Croatia,Armenia,1,0,TRUE,FALSE
Tuesday 21 November 2023,Wales,Turkiye,1,1,FALSE,FALSE
Tuesday 21 November 2023,Romania,Switzerland,1,0,TRUE,FALSE
Tuesday 21 November 2023,Andorra,Israel,0,2,FALSE,TRUE
Tuesday 21 November 2023,Kosovo,Belarus,0,1,FALSE,TRUE
Thursday 21 March 2024,Georgia,Luxembourg,2,0,TRUE,FALSE
Thursday 21 March 2024,Greece,Kazakhstan,5,0,TRUE,FALSE
Thursday 21 March 2024,Israel,Iceland,1,4,FALSE,TRUE
Thursday 21 March 2024,Bosnia and Herzegovina,Ukraine,1,2,FALSE,TRUE
Thursday 21 March 2024,Poland,Estonia,5,1,TRUE,FALSE
Thursday 21 March 2024,Wales,Finland,4,1,TRUE,FALSE
